City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kidal,18.4411,1.4078,33.0,32,84,3.58,ML,1690417844
84,muynoq,43.7683,59.0214,26.71,50,97,4.28,UZ,1690417895
85,jamestown,42.097,-79.2353,21.77,89,100,5.14,US,1690417545
86,sandnessjoen,66.0217,12.6316,14.29,89,55,2.76,NO,1690417864
87,klyuchi,52.2667,79.1667,21.53,41,99,2.24,RU,1690417555
88,el burgo de osma,41.5862,-3.0652,16.34,63,0,3.35,ES,1690417896
89,port lincoln,-34.7333,135.8667,15.24,56,50,8.32,AU,1690417531
90,nichinan,31.6,131.3667,28.82,76,40,2.87,JP,1690417896
91,balaklava,44.5,33.6,24.7,54,4,7.67,UA,1690417896
92,casablanca,33.5928,-7.6192,22.01,73,19,4.02,MA,1690417851
93,maracaju,-21.6144,-55.1683,22.95,41,95,2.28,BR,1690417897
94,raduzhnyy,62.0961,77.475,17.41,87,30,2.97,RU,1690417897
95,nova vicosa,-17.8919,-39.3719,21.61,79,3,2.83,BR,1690417565
96,raduzhny,62.0961,77.475,17.41,87,30,2.97,RU,1690417897
97,constantia,44.1833,28.65,21.5,75,24,10.8,RO,1690417446
98,remire-montjoly,4.9167,-52.2667,25.02,94,75,0.0,GF,1690417562
99,grand falls-windsor,48.9332,-55.6649,18.82,93,88,2.3,CA,1690417544
100,dayton,39.7589,-84.1916,30.0,69,75,9.26,US,1690417665
101,crane,31.3974,-102.3501,35.33,24,28,7.55,US,1690417670
102,holualoa,19.6228,-155.9522,27.91,81,75,6.17,US,1690417837
103,margaret river,-33.95,115.0667,12.91,70,97,6.72,AU,1690417378
104,sabang,5.8933,95.3214,28.02,77,96,8.43,ID,1690417545
105,punta arenas,-53.15,-70.9167,0.17,76,12,4.8,CL,1690417879
106,port hedland,-20.3167,118.5667,19.03,59,49,2.57,AU,1690417898
107,rio grande,-32.035,-52.0986,14.06,85,71,6.27,BR,1690417406
108,kirkwood,38.5834,-90.4068,34.21,50,40,7.72,US,1690417899
109,punta del este,-34.9667,-54.95,12.76,85,20,8.05,UY,1690417802
